gene,strand,AGR_pos,wt_codon,type,mRNA_CGA,mRNA_CGC,mRNA_CGG,mRNA_CGT,RBS_CGA,RBS_CGC,RBS_CGG,RBS_CGT
thrA,1,85,AGG,remaining AGR,0.8451,0.8812,0.9972,0.8465,0.0005,0.0005,0.0723,0.0005
thrA,1,730,AGG,remaining AGR,0.9099,0.9147,0.9809,0.8904,12.3927,10.5192,12.3927,10.7182
thrB,1,562,AGG,remaining AGR,0.9757,1.0136,0.9781,1.0159,1.3897,0.3095,0.6561,0.3184
mog,1,553,AGA,remaining AGR,0.9884,0.9884,0.9978,0.9884,1.31,0.3189,3.0865,0.3658
mog,1,568,AGA,remaining AGR,1.0,1.0093,1.0075,1.0489,0.4162,0.4162,0.1851,0.3177
yaaW,-1,430,AGG,remaining AGR,0.9353,1.0627,1.0056,1.0037,1.3975,1.2412,1.0471,0.7546
dnaJ,1,64,AGA,remaining AGR,1.0613,1.0793,1.0613,1.0895,0.2165,0.2165,0.9837,0.3396
dnaJ,1,1006,AGG,remaining AGR,0.9058,0.9415,1.0073,0.9267,0.202,0.1648,0.7634,0.1671
mokC,-1,52,AGA,remaining AGR,1.0634,1.0634,1.0956,1.0849,1.0,0.8817,1.0471,0.6184
mokC,-1,133,AGA,remaining AGR,1.0296,1.1025,1.0734,1.0719,0.9116,0.7389,4.2226,0.7389
nhaR,1,496,AGA,remaining AGR,1.0112,0.9499,0.9917,0.9778,41.0946,20.0014,0.6541,40.1904
ribF,1,211,AGA,remaining AGR,1.0065,1.1466,1.0745,1.0625,0.479,0.277,0.4695,0.367
ribF,1,289,AGG,remaining AGR,0.9952,1.0352,0.9893,0.9937,0.2563,0.0424,0.5768,0.0464
lspA,1,478,AGA,remaining AGR,0.9738,1.0136,1.0525,0.9873,1.046,0.2988,1.0634,0.241
dapB,1,481,AGA,remaining AGR,1.0707,0.9888,1.0445,0.9888,0.5749,0.4477,1.4348,0.4982
dapB,1,745,AGA,remaining AGR,1.0068,1.1024,1.0272,1.0276,0.978,1.0,2.2199,1.0
carA,1,634,AGA,remaining AGR,1.0204,1.0099,1.0177,1.0099,1.9307,0.1006,1.6659,0.1748
caiF,1,82,AGA,remaining AGR,0.9945,1.0555,0.9758,1.0427,0.7131,1.6406,5.16,1.1951
caiF,1,304,AGA,remaining AGR,1.0417,1.0044,1.0189,0.9942,0.0131,0.0131,0.0131,0.0206
caiE,-1,529,AGG,remaining AGR,0.9573,0.9516,1.0513,0.9715,2.9764,2.2743,1.4373,2.4886
caiC,-1,1498,AGA,remaining AGR,0.9842,0.9842,0.9842,0.9842,10.3017,1.0172,62.5277,1.0172
caiC,-1,1537,AGA,remaining AGR,1.0335,1.0335,1.1026,1.0335,0.1746,0.1746,2.9555,0.8678
caiA,-1,427,AGA,remaining AGR,1.0404,1.0506,1.043,1.0708,0.8737,0.8737,0.03,0.8737
caiT,-1,91,AGA,remaining AGR,0.9823,1.0,0.983,0.9904,1.409,0.362,0.7467,0.3338
yaaU,1,1321,AGA,remaining AGR,0.8714,0.7857,0.9321,0.8786,1.0,1.0,1.0,1.0
kefF,1,73,AGG,remaining AGR,0.9261,0.9261,1.0107,0.9398,0.0463,0.0463,0.4065,0.0463
kefC,1,232,AGG,remaining AGR,1.0,1.0,1.0,1.0,0.4013,9.0717,0.543,9.0717
apaH,-1,514,AGA,remaining AGR,0.9521,1.0059,0.977,0.9753,0.1731,0.0881,0.4069,0.1263
lptD,-1,1261,AGA,remaining AGR,0.9616,0.9837,0.9943,1.042,1.046,0.2369,1.7355,0.1846
lptD,-1,1405,AGA,remaining AGR,0.9845,0.9845,1.0155,1.0069,1.046,0.5663,4.9116,0.5924
rluA,-1,451,AGA,remaining AGR,0.969,1.0307,0.9888,0.9802,0.8353,0.8353,0.8353,0.8353
rluA,-1,559,AGA,remaining AGR,0.994,0.9567,0.9911,0.9723,0.1032,0.3258,1.7592,0.1807
sgrR,-1,1057,AGG,remaining AGR,1.0,1.0391,1.0215,1.026,0.145,0.0758,0.3886,0.0739
setA,1,1006,AGA,remaining AGR,0.9927,1.0502,1.0169,1.0575,1.0,0.7634,0.6578,0.2143
leuL,-1,61,AGA,remaining AGR,0.9877,1.0217,1.0575,0.9659,0.4867,0.2072,0.3917,0.456
leuO,1,853,AGA,remaining AGR,0.9547,0.9894,0.9713,0.9713,1.046,0.6703,5.6215,0.6964
ftsL,1,295,AGG,remaining AGR,0.9348,0.9399,1.0102,0.954,0.1191,0.1191,0.4065,0.1191
ftsI,1,1234,AGG,remaining AGR,0.8454,0.8454,0.9681,0.8454,1.701,0.562,0.4202,0.8112
ddlB,1,502,AGA,remaining AGR,1.0,1.0064,1.0,1.0,44.07,35.1898,1.2533,44.07
ftsQ,1,334,AGA,remaining AGR,1.051,1.0863,1.1109,1.0844,0.671,0.0842,3.2419,0.907
ftsQ,1,553,AGA,remaining AGR,0.9542,1.045,1.0303,1.0063,3.6882,3.6882,5.0539,3.1898
mutT,1,232,AGG,remaining AGR,1.064,1.12,1.1296,1.0304,0.6892,0.4394,0.8386,0.6892
hofC,-1,862,AGA,remaining AGR,1.0464,1.024,1.0718,1.0656,1.9307,0.3371,0.6434,0.6052
